slug,name,date,weekday,courts,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
future-padel-fot,Future Padel FÃ³t,2026-08-26,Wednesday,1,25.0,25.0,60.0,16.0,12.0,16.0,12.0,5.0,2.0
padel-king-savoya,Padel King Savoya,2026-08-26,Wednesday,6,24.0,24.0,56.7,96.0,73.0,96.0,73.0,30.0,13.0
zenith-padel-club,Zenith Padel Club,2026-08-26,Wednesday,3,21.6,22.9,43.3,51.0,40.0,48.0,37.0,15.0,8.5
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-26,Wednesday,4,18.4,20.3,32.5,76.0,62.0,64.0,51.0,20.0,13.5
new-padel-club,New Padel Club,2026-08-26,Wednesday,2,5.3,7.8,15.0,47.0,44.5,32.0,29.5,10.0,8.5
panorama-padel-budapest,Panorama Padel Budapest,2026-08-26,Wednesday,1,11.8,6.2,0.0,17.0,15.0,16.0,15.0,5.0,5.0
top-padel-club-budapest,Top Padel Club ,2026-08-27,Thursday,4,100.0,100.0,100.0,64.0,0.0,64.0,0.0,20.0,0.0
musketas-padel,Musketas Padel ,2026-08-27,Thursday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-08-27,Thursday,4,76.6,76.6,80.0,64.0,15.0,64.0,15.0,20.0,4.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-27,Thursday,4,38.3,38.3,82.5,60.0,37.0,60.0,37.0,20.0,3.5
buda-padel,BUDAPADEL,2026-08-27,Thursday,4,23.4,35.2,75.0,96.0,73.5,64.0,41.5,20.0,5.0
future-padel-fot,Future Padel FÃ³t,2026-08-27,Thursday,1,31.2,31.2,40.0,16.0,11.0,16.0,11.0,5.0,3.0
grand-slam-padel,Grand Slam Padel,2026-08-27,Thursday,3,31.0,31.0,20.0,42.0,29.0,42.0,29.0,15.0,12.0
premier-padel-nagyret,Premier Padel Nagyret,2026-08-27,Thursday,4,30.4,30.4,35.0,56.0,39.0,56.0,39.0,20.0,13.0
padel-garden-budapest,Padel Garden Budapest,2026-08-27,Thursday,3,25.8,25.8,46.7,46.5,34.5,46.5,34.5,15.0,8.0
budapest-padel,Budapest Padel,2026-08-27,Thursday,8,25.4,25.4,47.5,120.0,89.5,120.0,89.5,40.0,21.0
duna-padel,DUNA PADEL,2026-08-27,Thursday,4,24.2,24.2,40.0,64.0,48.5,64.0,48.5,20.0,12.0
padel-king-savoya,Padel King Savoya,2026-08-27,Thursday,6,21.4,21.4,43.3,96.0,75.5,96.0,75.5,30.0,17.0
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-27,Thursday,4,19.2,19.2,10.0,60.0,48.5,60.0,48.5,20.0,18.0
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-27,Thursday,4,15.8,18.8,35.0,76.0,64.0,64.0,52.0,20.0,13.0
new-padel-club,New Padel Club,2026-08-27,Thursday,2,11.7,17.2,35.0,47.0,41.5,32.0,26.5,10.0,6.5
zenith-padel-club,Zenith Padel Club,2026-08-27,Thursday,3,6.9,7.3,23.3,51.0,47.5,48.0,44.5,15.0,11.5
panorama-padel-budapest,Panorama Padel Budapest,2026-08-27,Thursday,1,11.8,6.2,0.0,17.0,15.0,16.0,15.0,5.0,5.0
top-padel-club-budapest,Top Padel Club ,2026-08-28,Friday,4,100.0,100.0,100.0,64.0,0.0,64.0,0.0,20.0,0.0
musketas-padel,Musketas Padel ,2026-08-28,Friday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-08-28,Friday,4,74.2,74.2,72.5,64.0,16.5,64.0,16.5,20.0,5.5
duna-padel,DUNA PADEL,2026-08-28,Friday,4,43.8,43.8,32.5,64.0,36.0,64.0,36.0,20.0,13.5
padel-garden-budapest,Padel Garden Budapest,2026-08-28,Friday,3,37.6,37.6,80.0,46.5,29.0,46.5,29.0,15.0,3.0
grand-slam-padel,Grand Slam Padel,2026-08-28,Friday,3,27.4,27.4,0.0,42.0,30.5,42.0,30.5,15.0,15.0
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-28,Friday,4,18.3,18.3,10.0,60.0,49.0,60.0,49.0,20.0,18.0
budapest-padel,Budapest Padel,2026-08-28,Friday,8,17.9,17.9,26.2,120.0,98.5,120.0,98.5,40.0,29.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-28,Friday,4,15.8,15.8,37.5,60.0,50.5,60.0,50.5,20.0,12.5
buda-padel,BUDAPADEL,2026-08-28,Friday,4,8.3,12.5,20.0,96.0,88.0,64.0,56.0,20.0,16.0
future-padel-fot,Future Padel FÃ³t,2026-08-28,Friday,1,12.5,12.5,20.0,16.0,14.0,16.0,14.0,5.0,4.0
premier-padel-nagyret,Premier Padel Nagyret,2026-08-28,Friday,4,10.7,10.7,0.0,56.0,50.0,56.0,50.0,20.0,20.0
padel-king-savoya,Padel King Savoya,2026-08-28,Friday,6,7.8,7.8,10.0,96.0,88.5,96.0,88.5,30.0,27.0
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-28,Friday,4,5.3,6.2,5.0,76.0,72.0,64.0,60.0,20.0,19.0
panorama-padel-budapest,Panorama Padel Budapest,2026-08-28,Friday,1,11.8,6.2,0.0,17.0,15.0,16.0,15.0,5.0,5.0
new-padel-club,New Padel Club,2026-08-28,Friday,2,2.1,3.1,0.0,47.0,46.0,32.0,31.0,10.0,10.0
zenith-padel-club,Zenith Padel Club,2026-08-28,Friday,3,2.0,2.1,0.0,51.0,50.0,48.0,47.0,15.0,15.0
top-padel-club-budapest,Top Padel Club ,2026-08-29,Saturday,4,100.0,100.0,100.0,56.0,0.0,56.0,0.0,20.0,0.0
musketas-padel,Musketas Padel ,2026-08-29,Saturday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
duna-padel,DUNA PADEL,2026-08-29,Saturday,4,51.6,51.6,55.0,64.0,31.0,64.0,31.0,20.0,9.0
premier-padel-park,Premier Padel Park,2026-08-29,Saturday,4,50.0,50.0,30.0,64.0,32.0,64.0,32.0,20.0,14.0
new-padel-club,New Padel Club,2026-08-29,Saturday,2,25.5,37.5,0.0,47.0,35.0,32.0,20.0,10.0,10.0
panorama-padel-budapest,Panorama Padel Budapest,2026-08-29,Saturday,1,29.4,25.0,40.0,17.0,12.0,16.0,12.0,5.0,3.0
padel-garden-budapest,Padel Garden Budapest,2026-08-29,Saturday,3,11.1,11.1,13.3,40.5,36.0,40.5,36.0,15.0,13.0
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-29,Saturday,4,8.3,8.3,15.0,60.0,55.0,60.0,55.0,20.0,17.0
future-padel-fot,Future Padel FÃ³t,2026-08-29,Saturday,1,6.2,6.2,0.0,16.0,15.0,16.0,15.0,5.0,5.0
premier-padel-nagyret,Premier Padel Nagyret,2026-08-29,Saturday,4,4.5,4.5,0.0,56.0,53.5,56.0,53.5,20.0,20.0
budapest-padel,Budapest Padel,2026-08-29,Saturday,8,4.2,4.2,0.0,120.0,115.0,120.0,115.0,40.0,40.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-29,Saturday,4,3.4,3.4,5.0,58.0,56.0,58.0,56.0,20.0,19.0
buda-padel,BUDAPADEL,2026-08-29,Saturday,4,1.6,2.3,0.0,96.0,94.5,64.0,62.5,20.0,20.0
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-29,Saturday,4,1.3,1.6,0.0,76.0,75.0,64.0,63.0,20.0,20.0
padel-king-savoya,Padel King Savoya,2026-08-29,Saturday,6,1.0,1.0,0.0,96.0,95.0,96.0,95.0,30.0,30.0
grand-slam-padel,Grand Slam Padel,2026-08-29,Saturday,3,0.0,0.0,0.0,42.0,42.0,42.0,42.0,15.0,15.0
zenith-padel-club,Zenith Padel Club,2026-08-29,Saturday,3,0.0,0.0,0.0,51.0,51.0,48.0,48.0,15.0,15.0
top-padel-club-budapest,Top Padel Club ,2026-08-30,Sunday,4,100.0,100.0,100.0,56.0,0.0,56.0,0.0,20.0,0.0
musketas-padel,Musketas Padel ,2026-08-30,Sunday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-08-30,Sunday,4,27.3,27.3,5.0,64.0,46.5,64.0,46.5,20.0,19.0
panorama-padel-budapest,Panorama Padel Budapest,2026-08-30,Sunday,1,29.4,25.0,40.0,17.0,12.0,16.0,12.0,5.0,3.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-30,Sunday,4,12.1,12.1,10.0,58.0,51.0,58.0,51.0,20.0,18.0
duna-padel,DUNA PADEL,2026-08-30,Sunday,4,9.4,9.4,0.0,64.0,58.0,64.0,58.0,20.0,20.0
budapest-padel,Budapest Padel,2026-08-30,Sunday,8,7.9,7.9,13.7,120.0,110.5,120.0,110.5,40.0,34.5
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-30,Sunday,4,6.7,6.7,15.0,60.0,56.0,60.0,56.0,20.0,17.0
future-padel-fot,Future Padel FÃ³t,2026-08-30,Sunday,1,6.2,6.2,0.0,16.0,15.0,16.0,15.0,5.0,5.0
padel-king-savoya,Padel King Savoya,2026-08-30,Sunday,6,4.2,4.2,0.0,96.0,92.0,96.0,92.0,30.0,30.0
zenith-padel-club,Zenith Padel Club,2026-08-30,Sunday,3,3.9,4.2,0.0,51.0,49.0,48.0,46.0,15.0,15.0
padel-garden-budapest,Padel Garden Budapest,2026-08-30,Sunday,3,3.7,3.7,6.7,40.5,39.0,40.5,39.0,15.0,14.0
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-30,Sunday,4,2.6,3.1,10.0,76.0,74.0,64.0,62.0,20.0,18.0
premier-padel-nagyret,Premier Padel Nagyret,2026-08-30,Sunday,4,2.7,2.7,7.5,56.0,54.5,56.0,54.5,20.0,18.5
buda-padel,BUDAPADEL,2026-08-30,Sunday,4,0.0,0.0,0.0,96.0,96.0,64.0,64.0,20.0,20.0
grand-slam-padel,Grand Slam Padel,2026-08-30,Sunday,3,0.0,0.0,0.0,39.0,39.0,39.0,39.0,12.0,12.0
new-padel-club,New Padel Club,2026-08-30,Sunday,2,0.0,0.0,0.0,47.0,47.0,32.0,32.0,10.0,10.0
